,,account_id,average_price,direction,exchange,frozen,instrument,position,position_profit,yesterday_position
2018-01-29,69,test0_12940567,18.315493,,SH,100,600188,100,-1.5492999999999313,0
2018-01-29,70,test0_12940567,13.394016999999998,,SZ,100,002024,100,-1.4016999999997282,0
2018-01-29,71,test0_12940567,20.596176999999997,,SZ,100,002555,100,-1.6176999999998998,0
2018-01-29,72,test0_12940567,4.561367999999999,,SZ,100,000157,100,-1.1367999999999157,0
2018-01-29,73,test0_12940567,25.547662000000006,,SH,100,600549,100,-1.7662000000004952,0
2018-01-29,74,test0_12940567,7.782333999999999,,SH,100,601377,100,-1.233399999999918,0
2018-01-29,75,test0_12940567,11.213363,,SH,100,601933,100,-1.3363000000000014,0
2018-01-29,76,test0_12940567,13.143942,,SZ,100,300017,100,-1.3941999999998345,0
2018-01-29,77,test0_12940567,7.162147999999999,,SH,100,601375,100,-1.2147999999998937,0
2018-01-29,78,test0_12940567,7.612283,,SH,100,601117,100,-1.2283000000000044,0
2018-01-29,79,test0_12940567,34.99049399999999,,SH,100,600585,100,-2.049399999999224,0
2018-01-29,80,test0_12940567,3.9311789999999998,,SH,100,600170,100,-1.1178999999999828,0
2018-01-29,81,test0_12940567,9.532858999999998,,SH,100,600606,100,-1.2858999999998844,0
2018-01-29,82,test0_12940567,16.995097,,SH,100,600048,100,-1.5097000000000804,0
2018-01-29,83,test0_12940567,7.802339999999999,,SZ,100,000961,100,-1.233999999999913,0
2018-01-29,84,test0_12940567,13.043912,,SZ,100,002673,100,-1.3912000000001257,0
2018-01-29,85,test0_12940567,4.171251,,SZ,100,000709,100,-1.1250999999999678,0
2018-01-29,86,test0_12940567,14.154244999999998,,SH,100,600837,100,-1.4244999999997177,0
2018-01-29,87,test0_12940567,7.582274,,SH,100,601669,100,-1.2273999999999674,0
2018-01-29,88,test0_12940567,3.5310589999999995,,SH,100,601866,100,-1.1058999999999486,0
2018-01-29,89,test0_12940567,8.492547,,SZ,100,000876,100,-1.2546999999999642,0
2018-01-29,90,test0_12940567,25.217563,,SZ,100,002236,100,-1.7562999999999107,0
2018-01-29,91,test0_12940567,23.066918,,SZ,100,000623,100,-1.6918000000000433,0
2018-01-29,92,test0_12940567,127.818334,,SZ,100,002304,100,-4.833399999999699,0
2018-01-29,93,test0_12940567,14.904469999999998,,SH,100,600958,100,-1.446999999999754,0
2018-01-29,94,test0_12940567,12.783833999999999,,SH,100,600153,100,-1.3833999999999236,0
2018-01-29,95,test0_12940567,9.212762999999999,,SH,100,600016,100,-1.2762999999999636,0
2018-01-29,96,test0_12940567,4.721416,,SH,100,601216,100,-1.1415999999999649,0
2018-01-29,97,test0_12940567,7.012103,,SH,100,601212,100,-1.2102999999999753,0
2018-01-29,98,test0_12940567,17.335199000000003,,SH,100,601878,100,-1.5199000000002627,0
2018-01-29,99,test0_12940567,7.622286,,SH,100,601985,100,-1.2285999999999575,0
2018-01-29,100,test0_12940567,45.703706999999994,,SH,100,600009,100,-2.3706999999994594,0
2018-01-29,101,test0_12940567,26.187854,,SZ,100,300003,100,-1.7853999999999814,0
2018-01-29,102,test0_12940567,50.465135000000004,,SH,100,600570,100,-2.5135000000005903,0
2018-01-29,103,test0_12940567,73.271975,,SH,100,600276,100,-3.197500000000275,0
2018-01-29,104,test0_12940567,25.467637999999997,,SZ,100,002153,100,-1.7637999999998044,0
2018-01-29,105,test0_12940567,37.621283,,SH,100,601012,100,-2.1282999999996832,0
2018-01-29,106,test0_12940567,16.094827,,SZ,100,300059,100,-1.4827000000000368,0
2018-01-29,107,test0_12940567,34.480340999999996,,SH,100,600104,100,-2.0340999999994835,0
2018-01-29,108,test0_12940567,26.147842,,SH,100,601088,100,-1.784200000000169,0
2018-01-29,109,test0_12940567,59.897964,,SZ,100,000333,100,-2.796400000000432,0
2018-01-29,110,test0_12940567,62.928872999999996,,SZ,100,002594,100,-2.887299999999726,0
2018-01-29,111,test0_12940567,7.312193,,SZ,100,000898,100,-1.2192999999999898,0
2018-01-29,112,test0_12940567,2.8908669999999996,,SZ,100,000630,100,-1.0866999999999738,0
2018-01-29,113,test0_12940567,4.951485,,SH,100,600369,100,-1.1484999999999523,0
2018-01-29,114,test0_12940567,9.312793,,SH,100,601857,100,-1.27929999999985,0
2018-01-29,115,test0_12940567,10.723216,,SH,100,600376,100,-1.3215999999999894,0
2018-01-29,116,test0_12940567,6.7420219999999995,,SH,100,601727,100,-1.202199999999909,0
2018-01-29,117,test0_12940567,8.162448,,SZ,100,000627,100,-1.2447999999999126,0
2018-01-29,118,test0_12940567,14.954485,,SH,100,601788,100,-1.4485000000000525,0
2018-01-29,119,test0_12940567,12.793836999999998,,SH,100,600926,100,-1.3836999999998767,0
2018-01-29,120,test0_12940567,6.231869,,SH,100,601989,100,-1.1868999999999907,0
2018-01-29,121,test0_12940567,7.292187,,SH,100,600704,100,-1.2186999999999948,0
2018-01-29,122,test0_12940567,10.343101999999998,,SZ,100,000671,100,-1.310199999999817,0
2018-01-29,123,test0_12940567,10.393117,,SZ,100,002839,100,-1.311699999999938,0
2018-01-29,124,test0_12940567,7.832348999999999,,SH,100,603993,100,-1.234899999999861,0
2018-01-29,125,test0_12940567,32.999897,,SH,100,600036,100,-1.9897000000000276,0
2018-01-29,126,test0_12940567,61.028302999999994,,SZ,100,300033,100,-2.830299999999397,0
2018-01-29,127,test0_12940567,12.013603,,SH,100,601186,100,-1.360299999999981,0
2018-01-29,128,test0_12940567,8.252474999999999,,SZ,100,000783,100,-1.247499999999846,0
2018-01-29,129,test0_12940567,5.961788,,SH,100,600415,100,-1.1788000000000132,0
2018-01-29,130,test0_12940567,3.7911369999999995,,SH,100,601099,100,-1.113699999999973,0
2018-01-29,131,test0_12940567,18.955685000000003,,SH,100,601166,100,-1.5685000000001281,0
2018-01-29,132,test0_12940567,37.231166,,SZ,100,002572,100,-2.1166000000000906,0
2018-01-29,133,test0_12940567,23.727116000000006,,SZ,100,002044,100,-1.7116000000005016,0
2018-01-29,134,test0_12940567,52.065615,,SZ,100,002739,100,-2.561500000000194,0
2018-01-29,135,test0_12940567,73.442026,,SH,100,600436,100,-3.2026000000001886,0
2018-01-29,136,test0_12940567,17.425226000000002,,SZ,100,002601,100,-1.522600000000196,0
2018-01-29,137,test0_12940567,6.712013,,SZ,100,300315,100,-1.2012999999999607,0
2018-01-29,138,test0_12940567,135.46062599999996,,SH,100,603833,100,-5.062599999996564,0
2018-01-29,139,test0_12940567,16.805039999999998,,SH,100,600804,100,-1.5039999999999054,0
2018-01-29,140,test0_12940567,7.622286,,SH,100,601169,100,-1.2285999999999575,0
2018-01-29,141,test0_12940567,9.092727,,SZ,100,002065,100,-1.2726999999999933,0
2018-01-29,142,test0_12940567,7.752325,,SH,100,601958,100,-1.2324999999999697,0
2018-01-29,143,test0_12940567,5.461638000000001,,SH,100,601018,100,-1.1638000000000481,0
2018-01-29,144,test0_12940567,14.664397999999998,,SH,100,601800,100,-1.4397999999998135,0
2018-01-29,145,test0_12940567,34.920472999999994,,SZ,100,300015,100,-2.0472999999995523,0
2018-01-29,146,test0_12940567,3.260978,,SH,100,600795,100,-1.0978000000000154,0
2018-01-29,147,test0_12940567,736.550899,,SH,100,600519,100,-23.08989999999085,0
2018-01-29,148,test0_12940567,9.952984999999998,,SH,100,600109,100,-1.2984999999998692,0
2018-01-29,149,test0_12940567,38.591574,,SZ,100,000002,100,-2.1574000000001092,0
2018-01-29,150,test0_12940567,14.504349999999999,,SZ,100,002027,100,-1.434999999999853,0
2018-01-29,151,test0_12940567,6.431929,,SH,100,601118,100,-1.19290000000003,0
2018-01-29,152,test0_12940567,19.905970000000003,,SZ,100,002252,100,-1.5970000000002926,0
