,,cancel_time,deal_volume,direction,exchange,frond_id,instrument,offset,order_id,order_price,order_time,price_type,session_id,status,total_volume
2018-01-29,0,,100,,SZ,,000686,open,order_58216340,9.16,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,1,,100,,SH,,600018,open,order_52138796,7.45,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,2,,100,,SH,,600031,open,order_31642780,9.39,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,3,,100,,SH,,600015,open,order_80137965,9.94,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,4,,100,,SH,,601919,open,order_18057264,7.24,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,5,,100,,SZ,,002174,open,order_30619548,24.0,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,6,,100,,SH,,600637,open,order_59320418,17.48,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,7,,100,,SH,,600887,open,order_20785634,33.47,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,8,,100,,SH,,601998,open,order_14368509,7.28,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,9,,100,,SH,,600588,open,order_72650841,22.66,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,10,,100,,SZ,,300024,open,order_47521063,19.84,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,11,,100,,SH,,600390,open,order_24395817,11.85,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,12,,100,,SH,,600019,open,order_61392087,10.01,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,13,,100,,SZ,,000725,open,order_06894351,6.04,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,14,,100,,SH,,601888,open,order_64051287,48.71,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,15,,100,,SH,,600085,open,order_23710685,33.91,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,16,,100,,SH,,600100,open,order_86392547,10.03,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,17,,100,,SH,,601881,open,order_97806154,12.05,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,18,,100,,SH,,600999,open,order_03749586,19.88,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,19,,100,,SZ,,000858,open,order_04926813,82.08,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,20,,100,,SZ,,000166,open,order_71584326,5.6,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,21,,100,,SH,,601155,open,order_15679802,43.54,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,22,,100,,SH,,600010,open,order_32174059,2.54,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,23,,100,,SH,,601398,open,order_49306728,7.43,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,24,,100,,SH,,600208,open,order_65834027,5.37,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,25,,100,,SH,,601688,open,order_18564930,20.36,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,26,,100,,SH,,601988,open,order_40671395,4.6,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,27,,100,,SH,,600000,open,order_45376912,13.46,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,28,,100,,SZ,,001979,open,order_13604897,26.0,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,29,,100,,SH,,600871,open,order_78930246,2.96,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,30,,100,,SH,,600816,open,order_45109732,13.0,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,31,,100,,SH,,601901,open,order_35280716,7.23,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,32,,100,,SH,,600340,open,order_23678904,43.61,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,33,,100,,SH,,600023,open,order_62145793,5.88,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,34,,100,,SH,,601608,open,order_13642970,4.15,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,35,,100,,SZ,,002385,open,order_39267015,6.87,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,36,,100,,SZ,,000001,open,order_94725603,13.74,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,37,,100,,SH,,601198,open,order_05841729,15.34,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,38,,100,,SZ,,002081,open,order_91867235,16.39,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,39,,100,,SZ,,000959,open,order_34586021,6.34,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,40,,100,,SZ,,002736,open,order_05942376,13.3,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,41,,100,,SH,,601009,open,order_19346720,9.71,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,42,,100,,SH,,601288,open,order_97356081,4.51,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,43,,100,,SZ,,000425,open,order_23480965,4.65,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,44,,100,,SH,,600221,open,order_91672340,3.25,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,45,,100,,SZ,,300144,open,order_68054317,19.24,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,46,,100,,SH,,600115,open,order_58924631,8.37,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,47,,100,,SH,,600705,open,order_07183964,5.7,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,48,,100,,SZ,,002714,open,order_04278956,60.3,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,49,,100,,SH,,601611,open,order_36928045,10.84,2018-01-29,fix,test0_12940567,filled,100
2018-01-29,50,,100,,SH,,600977,open,order_85926374,16.55,2018-01-29,fix,test0_12940567,filled,100
