,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-01-29,0,9.172751,2018-01-29,100,,SZ,000686,open,order_58216340,deal_93145268
2018-01-29,1,7.462238,2018-01-29,100,,SH,600018,open,order_52138796,deal_18256437
2018-01-29,2,9.402819999999998,2018-01-29,100,,SH,600031,open,order_31642780,deal_15289470
2018-01-29,3,9.952984999999998,2018-01-29,100,,SH,600015,open,order_80137965,deal_76238159
2018-01-29,4,7.252174999999999,2018-01-29,100,,SH,601919,open,order_18057264,deal_23706419
2018-01-29,5,24.017203,2018-01-29,100,,SZ,002174,open,order_30619548,deal_94801657
2018-01-29,6,17.495247000000003,2018-01-29,100,,SH,600637,open,order_59320418,deal_21698374
2018-01-29,7,33.49004399999999,2018-01-29,100,,SH,600887,open,order_20785634,deal_69732045
2018-01-29,8,7.292187,2018-01-29,100,,SH,601998,open,order_14368509,deal_92510436
2018-01-29,9,22.676801,2018-01-29,100,,SH,600588,open,order_72650841,deal_14832569
2018-01-29,10,19.855955,2018-01-29,100,,SZ,300024,open,order_47521063,deal_40861752
2018-01-29,11,11.863558000000001,2018-01-29,100,,SH,600390,open,order_24395817,deal_17203684
2018-01-29,12,10.023005999999999,2018-01-29,100,,SH,600019,open,order_61392087,deal_03729468
2018-01-29,13,6.051815,2018-01-29,100,,SZ,000725,open,order_06894351,deal_91248765
2018-01-29,14,48.734615999999995,2018-01-29,100,,SH,601888,open,order_64051287,deal_65120389
2018-01-29,15,33.93017599999999,2018-01-29,100,,SH,600085,open,order_23710685,deal_41935278
2018-01-29,16,10.043012,2018-01-29,100,,SH,600100,open,order_86392547,deal_67821094
2018-01-29,17,12.063617999999998,2018-01-29,100,,SH,601881,open,order_97806154,deal_14802573
2018-01-29,18,19.895967,2018-01-29,100,,SH,600999,open,order_03749586,deal_97243150
2018-01-29,19,82.114627,2018-01-29,100,,SZ,000858,open,order_04926813,deal_39867015
2018-01-29,20,5.611682999999999,2018-01-29,100,,SZ,000166,open,order_71584326,deal_25714930
2018-01-29,21,43.563064999999995,2018-01-29,100,,SH,601155,open,order_15679802,deal_75321690
2018-01-29,22,2.5507649999999997,2018-01-29,100,,SH,600010,open,order_32174059,deal_24608739
2018-01-29,23,7.442232000000001,2018-01-29,100,,SH,601398,open,order_49306728,deal_85314962
2018-01-29,24,5.381614,2018-01-29,100,,SH,600208,open,order_65834027,deal_05618724
2018-01-29,25,20.376110999999998,2018-01-29,100,,SH,601688,open,order_18564930,deal_15642389
2018-01-29,26,4.611382999999999,2018-01-29,100,,SH,601988,open,order_40671395,deal_93025716
2018-01-29,27,13.474041,2018-01-29,100,,SH,600000,open,order_45376912,deal_25376489
2018-01-29,28,26.017803,2018-01-29,100,,SZ,001979,open,order_13604897,deal_82941735
2018-01-29,29,2.970891,2018-01-29,100,,SH,600871,open,order_78930246,deal_67935140
2018-01-29,30,13.013903,2018-01-29,100,,SH,600816,open,order_45109732,deal_71043852
2018-01-29,31,7.242171999999999,2018-01-29,100,,SH,601901,open,order_35280716,deal_53076841
2018-01-29,32,43.633086000000006,2018-01-29,100,,SH,600340,open,order_23678904,deal_43067812
2018-01-29,33,5.891767,2018-01-29,100,,SH,600023,open,order_62145793,deal_67124980
2018-01-29,34,4.161248,2018-01-29,100,,SH,601608,open,order_13642970,deal_93812764
2018-01-29,35,6.882064000000001,2018-01-29,100,,SZ,002385,open,order_39267015,deal_62817394
2018-01-29,36,13.754124999999998,2018-01-29,100,,SZ,000001,open,order_94725603,deal_34619027
2018-01-29,37,15.354605,2018-01-29,100,,SH,601198,open,order_05841729,deal_80723591
2018-01-29,38,16.40492,2018-01-29,100,,SZ,002081,open,order_91867235,deal_94271683
2018-01-29,39,6.3519049999999995,2018-01-29,100,,SZ,000959,open,order_34586021,deal_34107598
2018-01-29,40,13.313993,2018-01-29,100,,SZ,002736,open,order_05942376,deal_92164078
2018-01-29,41,9.722916000000001,2018-01-29,100,,SH,601009,open,order_19346720,deal_97856031
2018-01-29,42,4.521356,2018-01-29,100,,SH,601288,open,order_97356081,deal_92035168
2018-01-29,43,4.661398,2018-01-29,100,,SZ,000425,open,order_23480965,deal_60831947
