,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,银华沪深300成长ETF,2023年年报,300750.SZ,宁德时代,7812.1052819999995,47.8507,8.174833220443821,8.019691816275412,0.012285625070090263,-9.11
1,银华沪深300成长ETF,2023年年报,601899.SH,紫金矿业,3722.1758,298.73,3.8950020876295786,3.821083014687204,0.014553679052560326,-56.599999999999966
2,银华沪深300成长ETF,2023年年报,002594.SZ,比亚迪,3247.2,16.4,3.3979724383116903,3.333485958748184,0.014080098196390589,-3.2900000000000027
3,银华沪深300成长ETF,2023年年报,300760.SZ,迈瑞医疗,3190.788,10.98,3.338941143291353,3.2755749554515274,0.009056115111253149,
4,银华沪深300成长ETF,2023年年报,002475.SZ,立讯精密,3125.993,90.74,3.2711376128219007,3.2090581955669846,0.012693868507456327,-16.92
5,银华沪深300成长ETF,2023年年报,603259.SH,药明康德,2711.0376,37.26,2.836915202028416,2.7830764268410864,0.014519996913249738,-7.030000000000001
6,银华沪深300成长ETF,2023年年报,600309.SH,万华化学,2623.7102800000002,34.154,2.745533141646664,2.6934286087100476,0.010877947830940676,-6.439999999999998
7,银华沪深300成长ETF,2023年年报,601012.SH,隆基绿能,2471.368,107.92,2.5861173777178754,2.5370382258251976,0.014241156984910795,-22.86999999999999
8,银华沪深300成长ETF,2023年年报,300124.SZ,汇川技术,2445.4122,38.73,2.558956410418562,2.5103927174339447,0.016619321325515943,-1.4299999999999997
9,银华沪深300成长ETF,2023年年报,000568.SZ,泸州老窖,2395.185232,13.3496,2.5063973278477434,2.4588310973986856,0.009115346649130263,-2.5199999999999996
10,银华沪深300成长ETF,2023年年报,688563.SH,航材股份,5.292875,0.0875,0.005538631242125212,0.005433519491841985,0.0012847517832391458,
11,银华沪深300成长ETF,2023年年报,688548.SH,广钢气体,5.1612,0.4048,0.00540084237146289,0.00529834556857943,0.0016643397910854744,
12,银华沪深300成长ETF,2023年年报,603296.SH,华勤技术,3.80975,0.049,0.003986642491025487,0.003910984273017028,0.0008241110679714195,
13,银华沪深300成长ETF,2023年年报,301291.SZ,明阳电气,3.4202160000000004,0.1206,0.003579021834525948,0.0035110994123817075,0.0017765117308328417,0.0
14,银华沪深300成长ETF,2023年年报,301348.SZ,蓝箭电子,2.732141,0.0613,0.0028589984650102675,0.002804740595226725,0.0012926589854044038,
