,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,汇添富中证电池主题ETF,2023年年报,300274.SZ,阳光电源,9485.1211,108.29,9.924940780364384,9.895378870398458,0.09615193825397245,11.550000000000011
1,汇添富中证电池主题ETF,2023年年报,300750.SZ,宁德时代,9410.95944,57.644,9.847340286294411,9.818009513104995,0.014800046217511615,8.089999999999996
2,汇添富中证电池主题ETF,2023年年报,002050.SZ,三花智控,6858.432,233.28,7.176453598062766,7.15507818839178,0.06321791300464187,32.80000000000001
3,汇添富中证电池主题ETF,2023年年报,300014.SZ,亿纬锂能,5395.692,127.86,5.645887174712599,5.62907063020819,0.06868409786057834,13.650000000000006
4,汇添富中证电池主题ETF,2023年年报,002812.SZ,恩捷股份,3472.8384,61.12,3.633871944953386,3.623048283871504,0.07360869453952941,6.519999999999996
5,汇添富中证电池主题ETF,2023年年报,002709.SZ,天赐材料,3015.3684,120.23,3.155189320775473,3.1457914387436983,0.08681576133872224,12.760000000000005
6,汇添富中证电池主题ETF,2023年年报,300450.SZ,先导智能,2923.264,114.19,3.058814092038436,3.0497032682267475,0.07864730470810481,12.189999999999998
7,汇添富中证电池主题ETF,2023年年报,002340.SZ,格林美,2920.281,534.85,3.0556927720219917,3.046591245210995,0.10515105062843474,56.950000000000045
8,汇添富中证电池主题ETF,2023年年报,300037.SZ,新宙邦,2585.2288,54.656,2.7051043917291135,2.6970471091471424,0.10075622490958047,6.089999999999996
9,汇添富中证电池主题ETF,2023年年报,000009.SZ,中国宝安,2523.0434,214.91,2.64003549003599,2.6321720182843302,0.0842311851428791,22.939999999999998
