,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,华宝中证军工ETF,2023年年报,600150.SH,中国船舶,2663.1424,90.46,6.306744700267069,6.227573561347737,0.02022614666319521,-6.670000000000002
1,华宝中证军工ETF,2023年年报,600893.SH,航发动力,2019.129294,54.0163,4.78161925328833,4.721593636246084,0.020267831679495432,-4.460000000000001
2,华宝中证军工ETF,2023年年报,601989.SH,中国重工,1904.5495,461.15,4.510276080438394,4.453656744933373,0.020881819771319587,-37.68000000000001
3,华宝中证军工ETF,2023年年报,600760.SH,中航沈飞,1895.721048,44.9436,4.489368902188158,4.433012023020332,0.016374466137201917,-3.357999999999997
4,华宝中证军工ETF,2023年年报,002179.SZ,中航光电,1673.0805,42.8995,3.9621206798762163,3.912382562722313,0.020987154755170725,-12.293999999999997
5,华宝中证军工ETF,2023年年报,000768.SZ,中航西飞,1260.1021,56.33,2.984122156205543,2.9466612534721244,0.02034574073092966,-4.5
6,华宝中证军工ETF,2023年年报,600372.SH,中航机载,1034.130478,78.4621,2.4489854209490076,2.4182423079504485,0.017494182253138153,-19.269999999999996
7,华宝中证军工ETF,2023年年报,688122.SH,西部超导,977.7605779999999,18.3686,2.3154925337194006,2.286425211389703,0.02827397846861255,-1.4673999999999978
8,华宝中证军工ETF,2023年年报,000733.SZ,振华科技,922.0228,15.67,2.1834966119068224,2.156086288228452,0.03012601684006275,-0.22000000000000064
9,华宝中证军工ETF,2023年年报,002465.SZ,海格通信,904.4009900000001,70.3814,2.1417653635790526,2.1148789092842795,0.0305935823872993,-10.209999999999994
10,华宝中证军工ETF,2023年年报,301487.SZ,盟固利,3.551232,0.0867,0.008409882098463389,0.008304309417856155,0.0015920254325971046,
11,华宝中证军工ETF,2023年年报,301526.SZ,国际复材,3.499925,0.7865,0.008288378963544054,0.008184331561353977,0.0014404084490693128,
12,华宝中证军工ETF,2023年年报,688549.SH,中巨芯-U,2.948805,0.3645,0.006983239163580226,0.006895575713701983,0.0013934680434253268,
13,华宝中证军工ETF,2023年年报,301348.SZ,蓝箭电子,2.732141,0.0613,0.006470144357332289,0.006388921995862544,0.0012926589854044038,
14,华宝中证军工ETF,2023年年报,688548.SH,广钢气体,2.41485,0.1894,0.005718748813221528,0.005646959026532183,0.0007787202481017513,
