,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,天弘中证银行ETF,2023年年报,600036.SH,招商银行,70388.63946399999,2530.1452,14.85578714738232,14.847337684907139,0.12265025041432284,167.17999999999984
1,天弘中证银行ETF,2023年年报,601166.SH,兴业银行,49822.05098,3073.538,10.515131280289278,10.509150634074238,0.1479491102777313,-152.59000000000015
2,天弘中证银行ETF,2023年年报,601398.SH,工商银行,35409.44891,7407.8345,7.473297395982595,7.469046840607321,0.027475886311820685,-367.9200000000001
3,天弘中证银行ETF,2023年年报,601328.SH,交通银行,33326.7844,5806.06,7.0337432165643206,7.029742664538445,0.14792183932005096,-289.33999999999924
4,天弘中证银行ETF,2023年年报,600919.SH,江苏银行,25943.593878,3877.9662,5.475493082755447,5.472378809989092,0.21226191003350722,1256.6266
5,天弘中证银行ETF,2023年年报,601288.SH,农业银行,24560.811547999998,6747.4757,5.183651670248139,5.180703386872937,0.02113578092325464,-335.02000000000044
6,天弘中证银行ETF,2023年年报,600016.SH,民生银行,19617.65575,5245.3625,4.140380043880157,4.138025137642831,0.147914507783254,-261.7399999999998
7,天弘中证银行ETF,2023年年报,000001.SZ,平安银行,19249.3122,2049.98,4.062639752015163,4.060329061790924,0.10563886734457643,-102.59000000000015
8,天弘中证银行ETF,2023年年报,601988.SH,中国银行,17771.647131,4454.0469,3.7507729805113157,3.7486396694159594,0.02113271188246539,-221.8099999999995
9,天弘中证银行ETF,2023年年报,002142.SZ,宁波银行,16823.364381,836.5671,3.5506343388667454,3.5486148597700327,0.12823383725536627,-42.42000000000007
10,天弘中证银行ETF,2023年年报,688563.SH,航材股份,9.079549,0.1501,0.0019162729719646567,0.0019151830615877653,0.002203899916162238,
11,天弘中证银行ETF,2023年年报,688548.SH,广钢气体,5.1612,0.4048,0.0010892906754403754,0.0010886711242449128,0.0016643397910854744,
12,天弘中证银行ETF,2023年年报,603296.SH,华勤技术,4.610575,0.0593,0.0009730791978451735,0.0009725257437544542,0.0009973425781776566,
13,天弘中证银行ETF,2023年年报,301526.SZ,国际复材,4.326735,0.9723,0.0009131736980937599,0.0009126543161977472,0.0017806854863701119,
14,天弘中证银行ETF,2023年年报,301487.SZ,盟固利,3.551232,0.0867,0.0007495008726508323,0.0007490745822472507,0.0015920254325971046,
