,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,工银中证180ESGETF,2023年年报,600519.SH,贵州茅台,431.5,0.25,10.119066985449905,9.948069809893555,0.00019901324457024204,-0.08000000000000002
1,工银中证180ESGETF,2023年年报,601318.SH,中国平安,197.067,4.89,4.621400170617975,4.543305384070204,0.0004543487434587596,0.1899999999999995
2,工银中证180ESGETF,2023年年报,600036.SH,招商银行,169.1456,6.08,3.9666179761161424,3.8995880343831546,0.0002947315128472006,-0.5199999999999996
3,工银中证180ESGETF,2023年年报,601166.SH,兴业银行,119.4677,7.37,2.80162609246265,2.754282780133071,0.00035476540154925034,-0.7499999999999991
4,工银中证180ESGETF,2023年年报,603259.SH,药明康德,101.57296,1.396,2.3819781834308777,2.341726296355795,0.0005440127667980846,0.17999999999999994
5,工银中证180ESGETF,2023年年报,601899.SH,紫金矿业,101.2998,8.13,2.3755723332854655,2.3354286955463617,0.0003960814471171809,-3.4099999999999984
6,工银中证180ESGETF,2023年年报,600900.SH,长江电力,97.7946,4.19,2.2933722090736484,2.2546176311254142,0.00017794731392846867,-1.2199999999999998
7,工银中证180ESGETF,2023年年报,601398.SH,工商银行,79.2046,16.57,1.8574198214502098,1.826032190184693,6.145864033367226e-05,-0.5
8,工银中证180ESGETF,2023年年报,600309.SH,万华化学,77.5882,1.01,1.819513773071806,1.7887666976222087,0.0003216820082347626,-0.17999999999999994
9,工银中证180ESGETF,2023年年报,601328.SH,交通银行,74.1034,12.91,1.7377920473918622,1.7084259475097705,0.0003289099571175389,-1.2300000000000004
