,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,工银瑞信国证半导体芯片ETF,2023年年报,688981.SH,中芯国际,4186.665978,78.9639,9.584410073552117,9.466113216404908,0.04000989715708516,-24.158
1,工银瑞信国证半导体芯片ETF,2023年年报,603501.SH,韦尔股份,3453.4557299999997,32.363,7.905893630184002,7.808314085672266,0.02664878958847609,-8.350000000000001
2,工银瑞信国证半导体芯片ETF,2023年年报,688012.SH,中微公司,2791.9718399999997,18.1769,6.391578207811313,6.312689302976041,0.029351693799133383,-4.9297
3,工银瑞信国证半导体芯片ETF,2023年年报,002371.SZ,北方华创,2772.2476460000003,11.2826,6.346424196323489,6.268092610885614,0.021346385269496476,-3.09
4,工银瑞信国证半导体芯片ETF,2023年年报,688041.SH,海光信息,2672.567352,37.6524,6.118229059914582,6.042714003323689,0.042759744412327945,
5,工银瑞信国证半导体芯片ETF,2023年年报,603986.SH,兆易创新,2397.003116,25.9444,5.487388039086173,5.4196592217683115,0.039048092969246405,-7.489999999999995
6,工银瑞信国证半导体芯片ETF,2023年年报,688008.SH,澜起科技,2168.56718,36.9055,4.9644364356707955,4.903162218130008,0.03240905802115444,-8.081299999999999
7,工银瑞信国证半导体芯片ETF,2023年年报,300782.SZ,卓胜微,1936.776,13.736,4.433803771821697,4.379078958568839,0.03088014459533286,-4.5
8,工银瑞信国证半导体芯片ETF,2023年年报,600703.SH,三安光电,1915.1226,138.276,4.384233286338211,4.330120303400935,0.027716071549634815,6.909999999999997
9,工银瑞信国证半导体芯片ETF,2023年年报,002049.SZ,紫光国微,1798.7566,26.668,4.117840058772503,4.067015069706991,0.031393719996626074,-8.740000000000002
10,工银瑞信国证半导体芯片ETF,2023年年报,688347.SH,华虹公司,49.33638,1.173,0.11294430937394337,0.11155027920108289,0.011281639227373332,
11,工银瑞信国证半导体芯片ETF,2023年年报,301578.SZ,辰奕智能,8.966216000000001,0.1175,0.020526091979541285,0.020272745956983803,0.010326242471070703,
12,工银瑞信国证半导体芯片ETF,2023年年报,301487.SZ,盟固利,3.551232,0.0867,0.008129729941001907,0.008029387667028265,0.0015920254325971046,
13,工银瑞信国证半导体芯片ETF,2023年年报,301526.SZ,国际复材,3.254285,0.7313,0.00744993799364654,0.007357986142272619,0.001339314302357773,
14,工银瑞信国证半导体芯片ETF,2023年年报,688548.SH,广钢气体,2.41485,0.1894,0.005528244380549751,0.005460011288398845,0.0007787202481017513,
