,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,西藏东财中证证券公司30ETF,2023年年报,600030.SH,中信证券,1683.407355,82.6415,14.822911548078093,14.602042945866646,0.0072705025284576525,
1,西藏东财中证证券公司30ETF,2023年年报,300059.SZ,东方财富,1622.0412,115.53,14.28256396975196,14.06974680965741,0.008601914353247211,
2,西藏东财中证证券公司30ETF,2023年年报,600837.SH,海通证券,823.9041,87.93,7.25472510389435,7.1466261661162855,0.009909413133089365,
3,西藏东财中证证券公司30ETF,2023年年报,601688.SH,华泰证券,654.1155,46.89,5.7596850637063275,5.673862950751474,0.006400195011007368,
4,西藏东财中证证券公司30ETF,2023年年报,601211.SH,国泰君安,610.824,41.05,5.378490296214283,5.298348170972585,0.0055081310792149145,
5,西藏东财中证证券公司30ETF,2023年年报,600999.SH,招商证券,461.032,33.8,4.059526374609156,3.9990374542582368,0.004554025328911138,
6,西藏东财中证证券公司30ETF,2023年年报,600958.SH,东方证券,414.294,47.62,3.647984130911359,3.5936273904511222,0.006375274013882523,
7,西藏东财中证证券公司30ETF,2023年年报,000776.SZ,广发证券,385.1155,26.95,3.391058602267939,3.3405301773312654,0.004552909780487201,
8,西藏东财中证证券公司30ETF,2023年年报,601377.SH,兴业证券,369.3404,62.92,3.2521540695845315,3.2036953898443468,0.007285791173374554,
9,西藏东财中证证券公司30ETF,2023年年报,000166.SZ,申万宏源,364.524,82.1,3.209744209031104,3.1619174568707367,0.0036431396395371924,
10,西藏东财中证证券公司30ETF,2023年年报,301487.SZ,盟固利,3.551232,0.0867,0.03126967318180956,0.030803739820143474,0.0015920254325971046,
11,西藏东财中证证券公司30ETF,2023年年报,301348.SZ,蓝箭电子,2.433522,0.0546,0.021427898154990594,0.021108612035089565,0.0011513732561677073,
12,西藏东财中证证券公司30ETF,2023年年报,301421.SZ,波长光电,1.8107849999999999,0.0305,0.01594451028615506,0.015706929316422723,0.0011116098169360862,
13,西藏东财中证证券公司30ETF,2023年年报,688627.SH,精智达,1.807032,0.0206,0.015911463984631724,0.015674375420888724,0.0010319571583486662,
14,西藏东财中证证券公司30ETF,2023年年报,301381.SZ,赛维时代,1.6952990000000001,0.0571,0.014927621083457394,0.014705192258165453,0.0018178379889299714,
