,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,广发国证新能源车电池ETF,2023年年报,300750.SZ,宁德时代,51953.233914,318.2239,14.880594029383401,14.800113383746968,0.08170370598009845,-65.75399999999996
1,广发国证新能源车电池ETF,2023年年报,002594.SZ,比亚迪,51840.954,261.823,14.848434494894098,14.768127781836833,0.22478619207765693,-64.8297
2,广发国证新能源车电池ETF,2023年年报,002050.SZ,三花智控,24402.56154,830.0191,6.989451554736282,6.951649597861509,0.2249317354937892,-88.6748
3,广发国证新能源车电池ETF,2023年年报,300014.SZ,亿纬锂能,21410.5076,507.358,6.132458897284804,6.099291924889898,0.27254361428396146,-102.62269999999995
4,广发国证新能源车电池ETF,2023年年报,002460.SZ,赣锋锂业,19224.31336,449.1662,5.506282882743197,5.476502539257919,0.3721242777586348,-97.23490000000004
5,广发国证新能源车电池ETF,2023年年报,603799.SH,华友钴业,16717.764094,507.6758,4.788349864295545,4.762452411018433,0.30105281051451915,-105.80500000000006
6,广发国证新能源车电池ETF,2023年年报,002709.SZ,天赐材料,12081.996564000001,481.7383,3.4605600535069163,3.4418438579827364,0.34785392398337994,-102.39170000000001
7,广发国证新能源车电池ETF,2023年年报,002812.SZ,恩捷股份,11597.308602,204.1061,3.321734339492843,3.303768973073518,0.24581124948551444,-45.0745
8,广发国证新能源车电池ETF,2023年年报,002340.SZ,格林美,10585.282344,1938.6964,3.031866880668189,3.015469242001475,0.3811460471338958,-416.50220000000013
9,广发国证新能源车电池ETF,2023年年报,300450.SZ,先导智能,10196.57984,398.3039,2.9205335963955785,2.9047380959621494,0.2743281214618312,-86.72410000000002
