,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,鹏华国证证券龙头ETF,2023年年报,300059.SZ,东方财富,19084.121316,1359.2679,14.903221364698465,14.636179829205334,0.10120579986945552,-173.3699999999999
1,鹏华国证证券龙头ETF,2023年年报,600030.SH,中信证券,13793.655497999998,677.1554,10.771777118327977,10.578764357443829,0.059573701443690556,-179.50490000000002
2,鹏华国证证券龙头ETF,2023年年报,600999.SH,招商证券,9915.753496,726.9614,7.743435859673336,7.604686058448627,0.09794676416392607,-75.92999999999995
3,鹏华国证证券龙头ETF,2023年年报,000776.SZ,广发证券,9632.828981999999,674.0958,7.52249371663075,7.387702839969357,0.11388116366624654,-68.83999999999992
4,鹏华国证证券龙头ETF,2023年年报,601688.SH,华泰证券,9197.271270000001,659.3026,7.182356861935984,7.053660685590232,0.08999072747417756,-136.42000000000007
5,鹏华国证证券龙头ETF,2023年年报,600958.SH,东方证券,8670.80019,996.6437,6.771223704824174,6.649894367290019,0.13342874174106947,-119.35000000000002
6,鹏华国证证券龙头ETF,2023年年报,601377.SH,兴业证券,8196.951354,1396.4142,6.401184446564374,6.286485611879254,0.16169711145478208,-153.49
7,鹏华国证证券龙头ETF,2023年年报,601108.SH,财通证券,6489.556856,836.2831,5.06784152030511,4.977034026535759,0.18008831055437766,-40.27999999999997
8,鹏华国证证券龙头ETF,2023年年报,600837.SH,海通证券,5679.022072,606.0856,4.434876600950263,4.35541081108784,0.06830379397721309,-162.23000000000002
9,鹏华国证证券龙头ETF,2023年年报,600061.SH,国投资本,4392.911602,651.7673,3.430523887168427,3.369054467641097,0.10143752499947434,-1.2200000000000273
