,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,招商上证消费80ETF,2023年年报,600519.SH,贵州茅台,11095.591,6.4285,9.74752596940339,9.69757001641521,0.005117426570879203,-2.656600000000001
1,招商上证消费80ETF,2023年年报,600276.SH,恒瑞医药,9130.837911,201.8757,8.021481655180466,7.9803716584777575,0.03167071116025551,-39.655400000000014
2,招商上证消费80ETF,2023年年报,600887.SH,伊利股份,7697.716425,287.7651,6.762478065187381,6.727820446693364,0.04564009557085506,-56.513499999999965
3,招商上证消费80ETF,2023年年报,603259.SH,药明康德,6760.226188,92.9113,5.9388887285563134,5.908451995475832,0.03620697233510522,-18.415000000000006
4,招商上证消费80ETF,2023年年报,600809.SH,山西汾酒,5092.2111,22.07,4.473530066035617,4.450603278420835,0.01809069446628411,-4.239999999999998
5,招商上证消费80ETF,2023年年报,601888.SH,中国中免,3689.6912439999996,44.0876,3.241410143900428,3.2247979560209217,0.022580359654430584,-8.479999999999997
6,招商上证消费80ETF,2023年年报,600690.SH,海尔智家,3592.7199,171.0819,3.1562203875433354,3.140044796137335,0.02711904130522297,-33.518100000000004
7,招商上证消费80ETF,2023年年报,600436.SH,片仔癀,3285.691822,13.5778,2.8864948574980223,2.871701606179234,0.022505242308602468,-2.392100000000001
8,招商上证消费80ETF,2023年年报,603288.SH,海天味业,2861.221275,75.3945,2.513595596870142,2.500713449763,0.013558697375115746,-14.723500000000001
9,招商上证消费80ETF,2023年年报,600104.SH,上汽集团,2859.477555,211.3435,2.5120637311062213,2.499189434792637,0.01808911703453902,-41.515799999999984
10,招商上证消费80ETF,2023年年报,688563.SH,航材股份,5.528786,0.0914,0.004857063054529848,0.004832170664976401,0.0013420150055778047,
11,招商上证消费80ETF,2023年年报,688548.SH,广钢气体,5.1612,0.4048,0.004534137121067708,0.004510899723027117,0.0016643397910854744,
12,招商上证消费80ETF,2023年年报,688549.SH,中巨芯-U,3.473846,0.4294,0.003051789138470234,0.0030361487559557583,0.0016415779913493426,
13,招商上证消费80ETF,2023年年报,688702.SH,盛科通信-U,2.645082,0.0549,0.002323716283900646,0.0023118072659815575,0.0014759349214321395,
14,招商上证消费80ETF,2023年年报,688582.SH,芯动联科,2.505816,0.0648,0.0022013704844155236,0.00219008848724268,0.0014064824297678532,0.0
