,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,广发国证半导体芯片ETF,2023年年报,688981.SH,中芯国际,26669.701542,503.0121,9.600522672921278,9.543111425116548,0.254869154002898,62.9393
1,广发国证半导体芯片ETF,2023年年报,603501.SH,韦尔股份,21976.476318,205.9458,7.911061877824614,7.863753627082455,0.16958274235486137,32.13499999999999
2,广发国证半导体芯片ETF,2023年年报,002371.SZ,北方华创,17867.834632,72.7192,6.4320386649388785,6.393574991838667,0.1375828319438399,11.439999999999998
3,广发国证半导体芯片ETF,2023年年报,688012.SH,中微公司,17804.22144,115.9129,6.409139275115145,6.370812540657602,0.18717382766971088,17.359399999999994
4,广发国证半导体芯片ETF,2023年年报,688041.SH,海光信息,16863.272244,237.5778,6.070417670899261,6.034116495947068,0.2698039436010232,
5,广发国证半导体芯片ETF,2023年年报,603986.SH,兆易创新,15231.073557,164.8563,5.482861020646597,5.4500734419428785,0.24811998461964724,22.180000000000007
6,广发国证半导体芯片ETF,2023年年报,688008.SH,澜起科技,13825.869563999999,235.2939,4.9770176097771275,4.947254981110111,0.20662648269563372,43.34280000000001
7,广发国证半导体芯片ETF,2023年年报,300782.SZ,卓胜微,12392.913,87.893,4.461183866368776,4.434505930054228,0.1975938081623173,10.010000000000005
8,广发国证半导体芯片ETF,2023年年报,600703.SH,三安光电,12192.967995,880.3587,4.389207937023752,4.362960417682986,0.17645928952633494,319.62
9,广发国证半导体芯片ETF,2023年年报,002049.SZ,紫光国微,11555.345140000001,171.3172,4.159677334044937,4.1348024106320524,0.20167557399902467,19.99000000000001
