,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,富国中证医药50ETF,2023年年报,300760.SZ,迈瑞医疗,9133.558,31.43,10.115610489191033,10.08764324945426,0.025922923310262885,0.10999999999999943
1,富国中证医药50ETF,2023年年报,600276.SH,恒瑞医药,9017.306088,199.3656,9.986859014637993,9.959247741885036,0.03127692106029124,-4.1211999999999875
2,富国中证医药50ETF,2023年年报,603259.SH,药明康德,8636.990351999999,118.7052,9.565651217163447,9.53920448306721,0.046258699344785104,-17.723399999999984
3,富国中证医药50ETF,2023年年报,300015.SZ,爱尔眼科,4841.10193,306.0115,5.361623746446998,5.346800141202857,0.03870891444088955,-4.170999999999992
4,富国中证医药50ETF,2023年年报,600436.SH,片仔癀,4798.6617,19.83,5.314620285610412,5.299926633675475,0.032868281678886634,-0.05000000000000071
5,富国中证医药50ETF,2023年年报,688271.SH,联影医疗,3700.6401,27.01,4.098537920521329,4.087206445004755,0.04583412003078044,
6,富国中证医药50ETF,2023年年报,000661.SZ,长春高新,3109.914,21.33,3.444296152592674,3.4347734988361927,0.053060648268731414,-0.09000000000000341
7,富国中证医药50ETF,2023年年报,300142.SZ,沃森生物,2481.9507,105.57,2.7488133906386785,2.7412135801111983,0.06734818766840368,-1.1200000000000045
8,富国中证医药50ETF,2023年年报,600085.SH,同仁堂,2413.278,44.94,2.6727569092060244,2.6653673766298387,0.03276775388076187,-0.5700000000000003
9,富国中证医药50ETF,2023年年报,000963.SZ,华东医药,2388.5106,57.61,2.6453264849146376,2.6380127908904663,0.032902176646494426,-0.8800000000000026
10,富国中证医药50ETF,2023年年报,603004.SH,鼎龙科技,6.919005,0.1948,0.007662945760323107,0.00764175955100852,0.0033761061838774747,
11,富国中证医药50ETF,2023年年报,688548.SH,广钢气体,4.341375,0.3405,0.004808165502152799,0.004794872076369306,0.0013999696118196744,
12,富国中证医药50ETF,2023年年报,688563.SH,航材股份,4.185908,0.0692,0.004635982480385919,0.0046231650994099545,0.0010160551245731303,
13,富国中证医药50ETF,2023年年报,301348.SZ,蓝箭电子,2.732141,0.0613,0.0030259044895263026,0.0030175385884895255,0.0012926589854044038,
14,富国中证医药50ETF,2023年年报,688702.SH,盛科通信-U,2.645082,0.0549,0.0029294847882906524,0.0029213854646297725,0.0014759349214321395,
