,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,天弘国证生物医药ETF,2023年年报,300122.SZ,智飞生物,30486.899016000003,498.8856,10.087920620080864,10.068474178763582,0.351199671496268,-19.45829999999995
1,天弘国证生物医药ETF,2023年年报,603259.SH,药明康德,29743.41488,408.788,9.841906457003104,9.822934256132955,0.15930221412167297,-61.25
2,天弘国证生物医药ETF,2023年年报,000661.SZ,长春高新,21588.72264,148.0708,7.143570756965654,7.129800126252654,0.3683418958119867,6.049999999999983
3,天弘国证生物医药ETF,2023年年报,002252.SZ,上海莱士,18603.0568,2325.3821,6.15563295534798,6.143766768098388,0.3500589055642639,65.58999999999969
4,天弘国证生物医药ETF,2023年年报,300142.SZ,沃森生物,17974.713911000003,764.5561,5.947718297215723,5.93625290616097,0.48774716023323683,3.32000000000005
5,天弘国证生物医药ETF,2023年年报,600196.SH,复星医药,15409.2189,615.63,5.0988123455609164,5.088983386868635,0.2907048795582551,18.08000000000004
6,天弘国证生物医药ETF,2023年年报,300347.SZ,泰格医药,13971.801858,254.1714,4.623180205669047,4.614268121013087,0.4479688105870205,-0.75
7,天弘国证生物医药ETF,2023年年报,300896.SZ,爱美客,13621.680699,46.2803,4.507327345148562,4.498638589554993,0.30980453850130185,4.659999999999997
8,天弘国证生物医药ETF,2023年年报,300759.SZ,康龙化成,12613.469652,435.2474,4.17371673407635,4.165671078227055,0.30631054565398547,168.63580000000002
9,天弘国证生物医药ETF,2023年年报,600161.SH,天坛生物,12608.6688,407.52,4.172128162740861,4.164085569173716,0.24731013542658595,5.729999999999961
10,天弘国证生物医药ETF,2023年年报,688563.SH,航材股份,9.079549,0.1501,0.0030043649086797823,0.002998573407329539,0.002203899916162238,
11,天弘国证生物医药ETF,2023年年报,688548.SH,广钢气体,5.1612,0.4048,0.0017078081925300575,0.0017045160580012528,0.0016643397910854744,
12,天弘国证生物医药ETF,2023年年报,603296.SH,华勤技术,4.610575,0.0593,0.001525609888644941,0.0015226689770051782,0.0009973425781776566,
13,天弘国证生物医药ETF,2023年年报,301526.SZ,国际复材,4.326735,0.9723,0.0014316890412901144,0.001428929180465018,0.0017806854863701119,
14,天弘国证生物医药ETF,2023年年报,301487.SZ,盟固利,3.551232,0.0867,0.0011750800401408397,0.0011728148433867908,0.0015920254325971046,
