,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,华夏创业板动量成长ETF,2023年年报,300760.SZ,迈瑞医疗,44008.580239999996,151.4404,9.169179291888149,9.0525993704051,0.1249054366934628,81.12870000000001
1,华夏创业板动量成长ETF,2023年年报,300122.SZ,智飞生物,36609.143256,599.0696,7.627508008803738,7.530529396381539,0.4217260364368118,
2,华夏创业板动量成长ETF,2023年年报,300308.SZ,中际旭创,34347.684931,304.2041,7.156333598496107,7.065345650451807,0.4054944368832556,150.27649999999997
3,华夏创业板动量成长ETF,2023年年报,300782.SZ,卓胜微,32172.957,228.177,6.7032294492217845,6.618002414391689,0.5129687502423752,
4,华夏创业板动量成长ETF,2023年年报,300124.SZ,汇川技术,29634.891594,469.3521,6.174424006391328,6.095920375591462,0.20140235901641343,
5,华夏创业板动量成长ETF,2023年年报,300750.SZ,宁德时代,27968.331816,171.3116,5.827196594786665,5.75310772599472,0.04398410238005452,-70.30010000000001
6,华夏创业板动量成长ETF,2023年年报,300274.SZ,阳光电源,20187.970934,230.4826,4.206159890271268,4.152681408267236,0.2046481551742084,-179.1128
7,华夏创业板动量成长ETF,2023年年报,300015.SZ,爱尔眼科,16291.977044,1029.8342,3.3944303070241904,3.3512724183980342,0.13026884262879643,498.9335
8,华夏创业板动量成长ETF,2023年年报,300408.SZ,三环集团,16158.785030000001,548.6854,3.3666797763332763,3.323874716961089,0.29756862673450907,
9,华夏创业板动量成长ETF,2023年年报,300832.SZ,新产业,14204.748480000002,181.6464,2.959556634160932,2.921927870554972,0.26009042259613463,120.1653
