,,cancel_time,deal_volume,direction,exchange,frond_id,instrument,offset,order_id,order_price,order_time,price_type,session_id,status,total_volume
2018-01-29,57,,100,,SZ,,002839,open,order_64708952,10.38,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,58,,100,,SH,,600436,open,order_13079862,73.41,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,59,,100,,SH,,600682,open,order_94065871,37.95,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,60,,100,,SH,,600909,open,order_04631987,8.15,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,61,,100,,SH,,600919,open,order_34290165,8.15,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,62,,100,,SH,,600926,open,order_40631578,12.78,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,63,,100,,SH,,600977,open,order_15260894,16.55,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,64,,100,,SH,,601117,open,order_78301965,7.6,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,65,,100,,SH,,601229,open,order_74851320,16.39,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,66,,100,,SH,,601375,open,order_94302518,7.15,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,67,,100,,SH,,601881,open,order_90142375,12.05,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,68,,100,,SH,,601997,open,order_90673814,16.96,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,69,,100,,SH,,600871,open,order_80367521,2.96,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,70,,100,,SZ,,300059,open,order_68905341,16.08,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,71,,100,,SH,,600000,open,order_91435286,13.46,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,72,,100,,SZ,,000686,open,order_70834521,9.16,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,73,,100,,SZ,,002739,open,order_59207681,52.04,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,74,,100,,SH,,601225,open,order_80194625,10.18,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,75,,100,,SH,,600887,open,order_69238417,33.47,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,76,,100,,SH,,600583,open,order_62350471,7.27,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,77,,100,,SZ,,000423,open,order_18675439,64.99,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,78,,100,,SH,,600208,open,order_82731405,5.37,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,79,,100,,SZ,,002385,open,order_15863074,6.87,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,80,,100,,SH,,600028,open,order_95746308,7.44,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,81,,100,,SZ,,002174,open,order_53872641,24.0,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,82,,100,,SH,,600606,open,order_03276498,9.52,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,83,,100,,SH,,601866,open,order_86173049,3.52,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,84,,100,,SH,,600999,open,order_28951074,19.88,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,85,,100,,SH,,600030,open,order_90214638,22.11,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,86,,100,,SH,,601998,open,order_86721350,7.28,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,87,,100,,SH,,600009,open,order_17425396,45.68,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,88,,100,,SH,,601988,open,order_69837450,4.6,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,89,,100,,SH,,601328,open,order_12804367,6.92,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,90,,100,,SH,,601018,open,order_85631907,5.45,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,91,,100,,SH,,600085,open,order_39572480,33.91,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,92,,100,,SH,,600369,open,order_83796054,4.94,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,93,,100,,SH,,600100,open,order_56972418,10.03,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,94,,100,,SH,,600958,open,order_71948523,14.89,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,95,,100,,SH,,600068,open,order_18795026,9.8,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,96,,100,,SH,,600383,open,order_13047582,16.34,2018-01-29,fix,test0_71059834,filled,100
2018-01-29,97,,100,,SH,,600177,open,order_24639815,9.98,2018-01-29,fix,test0_71059834,filled,100
