,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-01-29,0,16.40492,2018-01-29,100,,SZ,002081,open,order_04935187,deal_40258371
2018-01-29,1,17.795337000000004,2018-01-29,100,,SH,600406,open,order_49827063,deal_04623187
2018-01-29,2,6.051815,2018-01-29,100,,SZ,000725,open,order_15924038,deal_85732164
2018-01-29,3,5.611682999999999,2018-01-29,100,,SZ,000166,open,order_61732405,deal_04963152
2018-01-29,4,9.212762999999999,2018-01-29,100,,SH,600016,open,order_18237694,deal_63285417
2018-01-29,5,12.093627,2018-01-29,100,,SZ,000402,open,order_95743260,deal_48691025
2018-01-29,6,62.928872999999996,2018-01-29,100,,SZ,002594,open,order_97834061,deal_03765142
2018-01-29,7,7.462238,2018-01-29,100,,SH,600018,open,order_05874621,deal_47180295
2018-01-29,8,9.312793,2018-01-29,100,,SH,601857,open,order_21076398,deal_71028345
2018-01-29,9,10.083024,2018-01-29,100,,SH,601555,open,order_82514670,deal_46810537
2018-01-29,10,10.853254999999999,2018-01-29,100,,SH,601611,open,order_21079638,deal_52617849
2018-01-29,11,12.783833999999999,2018-01-29,100,,SH,600153,open,order_82709543,deal_90412687
2018-01-29,12,5.961788,2018-01-29,100,,SH,600415,open,order_96701235,deal_35268490
2018-01-29,13,36.57096799999999,2018-01-29,100,,SH,600535,open,order_83579142,deal_82961057
2018-01-29,14,19.905970000000003,2018-01-29,100,,SZ,002252,open,order_94851260,deal_72901536
2018-01-29,15,7.152144999999999,2018-01-29,100,,SH,600050,open,order_60485293,deal_56240987
2018-01-29,16,14.504349999999999,2018-01-29,100,,SZ,002027,open,order_28345906,deal_76512830
2018-01-29,17,20.386114000000003,2018-01-29,100,,SH,601211,open,order_84530169,deal_48379265
2018-01-29,18,25.217563,2018-01-29,100,,SZ,002236,open,order_26570398,deal_15238694
2018-01-29,19,5.891767,2018-01-29,100,,SH,600023,open,order_75936841,deal_49307218
2018-01-29,20,19.525856,2018-01-29,100,,SZ,000776,open,order_48965710,deal_46937281
2018-01-29,21,3.7911369999999995,2018-01-29,100,,SH,601099,open,order_86792153,deal_74985603
2018-01-29,22,7.582274,2018-01-29,100,,SH,601669,open,order_60748312,deal_46539078
2018-01-29,23,20.80624,2018-01-29,100,,SH,600690,open,order_91345807,deal_23185790
2018-01-29,24,9.092727,2018-01-29,100,,SZ,002065,open,order_24035671,deal_47853106
2018-01-29,25,4.7614279999999995,2018-01-29,100,,SH,601818,open,order_19207854,deal_40369782
2018-01-29,26,48.734615999999995,2018-01-29,100,,SH,601888,open,order_51903764,deal_69028714
2018-01-29,27,8.492547,2018-01-29,100,,SZ,000876,open,order_85460792,deal_70618542
2018-01-29,28,10.433129,2018-01-29,100,,SZ,300027,open,order_80361752,deal_67521049
2018-01-29,29,3.9311789999999998,2018-01-29,100,,SH,600170,open,order_84712935,deal_51932864
2018-01-29,30,26.147842,2018-01-29,100,,SH,601088,open,order_10234957,deal_39817425
2018-01-29,31,26.017803,2018-01-29,100,,SZ,001979,open,order_91620843,deal_84310925
2018-01-29,32,73.392011,2018-01-29,100,,SH,601318,open,order_35486971,deal_74106358
2018-01-29,33,50.465135000000004,2018-01-29,100,,SH,600570,open,order_25031794,deal_50421379
2018-01-29,34,8.372510999999998,2018-01-29,100,,SH,600820,open,order_03748591,deal_82764059
2018-01-29,35,10.083024,2018-01-29,100,,SH,601006,open,order_03596847,deal_49572086
2018-01-29,36,10.513152999999999,2018-01-29,100,,SH,601668,open,order_25948730,deal_56873104
2018-01-29,37,19.255775,2018-01-29,100,,SZ,300144,open,order_49563812,deal_92573108
2018-01-29,38,22.676801,2018-01-29,100,,SH,600588,open,order_86395412,deal_72584130
2018-01-29,39,13.894167,2018-01-29,100,,SZ,002146,open,order_49257306,deal_45063712
2018-01-29,40,9.402819999999998,2018-01-29,100,,SH,600031,open,order_01379648,deal_83710629
2018-01-29,41,8.712613,2018-01-29,100,,SH,601390,open,order_30874156,deal_92567108
2018-01-29,42,10.453135,2018-01-29,100,,SZ,000069,open,order_60591842,deal_89534706
2018-01-29,43,4.661398,2018-01-29,100,,SZ,000425,open,order_16047239,deal_46839271
2018-01-29,44,20.376110999999998,2018-01-29,100,,SH,601688,open,order_17958324,deal_65347208
2018-01-29,45,7.442232000000001,2018-01-29,100,,SH,601398,open,order_84619702,deal_28491065
2018-01-29,46,34.99049399999999,2018-01-29,100,,SH,600585,open,order_96157048,deal_06849357
2018-01-29,47,18.315493,2018-01-29,100,,SH,600188,open,order_70961382,deal_16809573
2018-01-29,48,8.162448,2018-01-29,100,,SZ,000627,open,order_23987510,deal_25804913
2018-01-29,49,8.252474999999999,2018-01-29,100,,SZ,000783,open,order_67512940,deal_96785214
2018-01-29,50,3.260978,2018-01-29,100,,SH,600221,open,order_49128736,deal_15094627
2018-01-29,51,6.3519049999999995,2018-01-29,100,,SZ,000959,open,order_04961827,deal_92613058
2018-01-29,52,7.802339999999999,2018-01-29,100,,SZ,000961,open,order_38209476,deal_96427510
2018-01-29,53,23.727116000000006,2018-01-29,100,,SZ,002044,open,order_12857034,deal_46810592
2018-01-29,54,26.597977,2018-01-29,100,,SZ,002411,open,order_85243167,deal_17685923
2018-01-29,55,52.175648,2018-01-29,100,,SZ,002508,open,order_52480739,deal_40579168
2018-01-29,56,20.596176999999997,2018-01-29,100,,SZ,002555,open,order_19704863,deal_16320958
2018-01-29,57,10.393117,2018-01-29,100,,SZ,002839,open,order_64708952,deal_72196345
2018-01-29,58,73.442026,2018-01-29,100,,SH,600436,open,order_13079862,deal_10839647
2018-01-29,59,37.971388,2018-01-29,100,,SH,600682,open,order_94065871,deal_70168953
2018-01-29,60,8.162448,2018-01-29,100,,SH,600909,open,order_04631987,deal_53028417
2018-01-29,61,8.162448,2018-01-29,100,,SH,600919,open,order_34290165,deal_84960713
2018-01-29,62,12.793836999999998,2018-01-29,100,,SH,600926,open,order_40631578,deal_19364708
2018-01-29,63,16.564968,2018-01-29,100,,SH,600977,open,order_15260894,deal_13258470
2018-01-29,64,7.612283,2018-01-29,100,,SH,601117,open,order_78301965,deal_83049567
2018-01-29,65,16.40492,2018-01-29,100,,SH,601229,open,order_74851320,deal_65910832
2018-01-29,66,7.162147999999999,2018-01-29,100,,SH,601375,open,order_94302518,deal_96135402
2018-01-29,67,12.063617999999998,2018-01-29,100,,SH,601881,open,order_90142375,deal_78516902
2018-01-29,68,16.975091000000003,2018-01-29,100,,SH,601997,open,order_90673814,deal_57623049
2018-01-29,69,2.970891,2018-01-29,100,,SH,600871,open,order_80367521,deal_58742139
2018-01-29,70,16.094827,2018-01-29,100,,SZ,300059,open,order_68905341,deal_75381964
2018-01-29,71,13.474041,2018-01-29,100,,SH,600000,open,order_91435286,deal_35492178
2018-01-29,72,9.172751,2018-01-29,100,,SZ,000686,open,order_70834521,deal_09126584
2018-01-29,73,52.065615,2018-01-29,100,,SZ,002739,open,order_59207681,deal_41597286
2018-01-29,74,10.193057,2018-01-29,100,,SH,601225,open,order_80194625,deal_74925380
2018-01-29,75,33.49004399999999,2018-01-29,100,,SH,600887,open,order_69238417,deal_20873956
2018-01-29,76,7.282183999999998,2018-01-29,100,,SH,600583,open,order_62350471,deal_71908345
