time_tag,account_id,order_id,instrument,exchange,price_type,order_price,direction,offset,total_volume,deal_volume,status,order_time,cancel_time,frond_id,session_id
2018-01-02,test0,order_78456193,002601,SZ,fix,11.89950638078412,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_61370984,002839,SZ,fix,8.193451348475612,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_80514632,002602,SZ,fix,11.206859892282969,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_65827091,601212,SH,fix,6.793145932406541,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_62015978,600383,SH,fix,10.404353672984307,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_37649508,000961,SZ,fix,5.717217766620353,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_25106984,600111,SH,fix,14.393970612980274,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_34752069,600518,SH,fix,20.67503235860786,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_71408396,002594,SZ,fix,65.01607355536112,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_70826935,600028,SH,fix,4.097236569510232,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_34089251,002294,SZ,fix,39.28486368389345,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_01432986,002027,SZ,fix,9.936889147334856,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_37156290,000963,SZ,fix,28.560258755847116,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_78201953,002500,SZ,fix,8.261489912028363,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_28341650,000402,SZ,fix,9.628848163062317,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_19754283,000008,SZ,fix,8.630706840543365,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_20459873,000002,SZ,fix,24.603173464953706,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_13478562,600739,SH,fix,16.784765276678996,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_38721540,601998,SH,fix,4.688776292873372,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_09378165,601006,SH,fix,6.128093910221131,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_27438160,601336,SH,fix,60.318167880852016,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_15780346,000630,SZ,fix,0.5314700608642415,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_90472185,600741,SH,fix,21.88964051369651,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_29546713,603993,SH,fix,6.378402463102158,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_75162498,601857,SH,fix,6.548385243880813,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_97436185,000060,SZ,fix,6.657210819352566,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_02814937,600340,SH,fix,21.898832290952992,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_27483610,600188,SH,fix,6.484575696307033,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_73025981,000959,SZ,fix,2.633674018289403,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_10459382,300144,SZ,fix,10.027527057819727,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_08436275,000938,SZ,fix,25.8034363060155,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_21870463,600827,SH,fix,12.531877404689437,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_32054961,600585,SH,fix,24.0780668368634,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_98021456,600066,SH,fix,17.641456660584165,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_23146057,601989,SH,fix,6.0153349562558684,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_94382507,300124,SZ,fix,19.01498687980607,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_37146509,600660,SH,fix,24.801895515849473,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_41768532,000425,SZ,fix,4.19049049443599,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_12475389,600089,SH,fix,6.52264418079287,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_72098614,000792,SZ,fix,14.07,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_01568349,601939,SH,fix,5.707087582236471,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_40819537,601228,SH,fix,5.716160251339575,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_41578269,300251,SZ,fix,10.385949672000011,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_07582943,601898,SH,fix,4.993170055827355,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_13946752,600104,SH,fix,24.74218316040356,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_68479023,600674,SH,fix,8.631676822625662,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_94510732,600390,SH,fix,8.593291164574374,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_62180439,601766,SH,fix,10.85509150478353,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_19273584,601985,SH,fix,6.41320635210337,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_70423951,002424,SZ,fix,14.815631698621463,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_57143902,600362,SH,fix,18.721977789089486,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_01275436,002044,SZ,fix,14.805142328219352,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_45609127,000623,SZ,fix,20.63008411464577,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_32570819,002465,SZ,fix,9.136771113348319,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_90832567,000503,SZ,fix,42.72,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_53421089,601375,SH,fix,6.085498761518733,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_81529067,000625,SZ,fix,6.369130576256335,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_36578190,601727,SH,fix,6.557871236502937,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_27894065,600977,SH,fix,14.566875268433844,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_29817065,601877,SH,fix,23.50899811634162,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_18039245,600688,SH,fix,5.405963456657459,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_86397501,600177,SH,fix,4.711985573862632,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_04861527,600019,SH,fix,6.25199359098948,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_80231957,601899,SH,fix,4.084800737888641,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_27340851,000559,SZ,fix,8.369469195253469,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_34752186,601966,SH,fix,16.657461965635456,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_03215768,600221,SH,fix,3.170368992263518,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_49380672,600219,SH,fix,3.0904787873184816,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_85062934,002081,SZ,fix,14.68966941749821,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_02396487,000415,SZ,fix,5.845845515027112,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_45168903,000839,SZ,fix,9.443888715251159,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_62437851,601377,SH,fix,6.237391451784981,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_29573840,601021,SH,fix,37.65043199920476,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_36892740,000166,SZ,fix,4.921223828566643,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_25310947,601155,SH,fix,24.612206046571693,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_19875403,000069,SZ,fix,7.283713117500847,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_91678305,601919,SH,fix,3.5325069997394136,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_12384567,601333,SH,fix,5.23209115028042,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_89642517,000338,SZ,fix,7.316821114527877,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_27985063,601088,SH,fix,13.410059634991915,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_26349501,600926,SH,fix,7.007608642814756,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_47321065,600030,SH,fix,15.418241257154103,,open,100,100,filled,2018-01-02,,,
2018-01-02,test0,order_62475390,601633,SH,fix,10.961118084746053,,open,100,100,filled,2018-01-02,,,
