,,account_id,available,pre_balance,total_balance
2018-03-09,1,test1_12769405,1000.0,0,1000.0
2018-03-12,0,test0_04716358,1503917.398758803,0,2003061.8727836113
2018-03-12,1,test1_12769405,1000.0,0,1000.0
2018-03-13,0,test0_04716358,1494949.6063764496,0,1997677.2443185088
2018-03-13,1,test1_12769405,1000.0,0,1000.0
2018-03-14,0,test0_04716358,1487526.799761274,0,1994706.0974538126
2018-03-14,1,test1_12769405,1000.0,0,1000.0
2018-03-15,0,test0_04716358,1443069.9865278197,0,1996835.4824765995
2018-03-15,1,test1_12769405,1000.0,0,1000.0
2018-03-16,0,test0_04716358,1510167.0045728898,0,1991566.5904528066
2018-03-16,1,test1_12769405,1000.0,0,1000.0
2018-03-19,0,test0_04716358,1621379.672601474,0,1995201.8684593078
2018-03-19,1,test1_12769405,1000.0,0,1000.0
2018-03-20,0,test0_04716358,1659975.0013198652,0,1995064.7752355153
2018-03-20,1,test1_12769405,1000.0,0,1000.0
2018-03-21,0,test0_04716358,1690297.402145911,0,1990859.5744713582
2018-03-21,1,test1_12769405,1000.0,0,1000.0
2018-03-22,0,test0_04716358,1752413.6433965869,0,1987227.9245933197
2018-03-22,1,test1_12769405,1000.0,0,1000.0
2018-03-23,0,test0_04716358,1764189.5407224512,0,1981827.6819648999
2018-03-23,1,test1_12769405,1000.0,0,1000.0
2018-03-26,0,test0_04716358,1834869.2415015912,0,1984030.700971095
2018-03-26,1,test1_12769405,1000.0,0,1000.0
2018-03-27,0,test0_04716358,1841643.938982239,0,1985352.7419574438
2018-03-27,1,test1_12769405,1000.0,0,1000.0
2018-03-28,0,test0_04716358,1846375.460141692,0,1983370.7329394869
2018-03-28,1,test1_12769405,1000.0,0,1000.0
2018-03-29,0,test0_04716358,1857609.645691008,0,1981512.1923997041
2018-03-29,1,test1_12769405,1000.0,0,1000.0
2018-03-30,0,test0_04716358,1798786.6021361372,0,1984783.5823831079
2018-03-30,1,test1_12769405,1000.0,0,1000.0
2018-04-02,0,test0_04716358,1744348.831698692,0,1986158.7387861712
2018-04-02,1,test1_12769405,1000.0,0,1000.0
2018-04-03,0,test0_04716358,1705433.1699339983,0,1984301.528213982
2018-04-03,1,test1_12769405,1000.0,0,1000.0
2018-04-04,0,test0_04716358,1642215.0514835045,0,1980787.0879638386
2018-04-04,1,test1_12769405,1000.0,0,1000.0
2018-04-09,0,test0_04716358,1637179.8958305223,0,1980381.273363993
2018-04-09,1,test1_12769405,1000.0,0,1000.0
2018-04-10,0,test0_04716358,1662041.5362935504,0,1982223.9000600507
2018-04-10,1,test1_12769405,1000.0,0,1000.0
2018-04-11,0,test0_04716358,1625756.225035435,0,1983412.7089822316
2018-04-11,1,test1_12769405,1000.0,0,1000.0
2018-04-12,0,test0_04716358,1604416.1011949733,0,1980696.8958663102
2018-04-12,1,test1_12769405,1000.0,0,1000.0
2018-04-13,0,test0_04716358,1592277.1697010966,0,1977753.551768056
2018-04-13,1,test1_12769405,1000.0,0,1000.0
2018-04-16,0,test0_04716358,1584932.9003051936,0,1974406.5958569748
2018-04-16,1,test1_12769405,1000.0,0,1000.0
2018-04-17,0,test0_04716358,1748254.6844347515,0,1964924.0478899907
2018-04-17,1,test1_12769405,1000.0,0,1000.0
2018-04-18,0,test0_04716358,1819223.6854633673,0,1965718.3162448094
2018-04-18,1,test1_12769405,1000.0,0,1000.0
2018-04-19,0,test0_04716358,1836060.5075810833,0,1966408.1253962258
2018-04-19,1,test1_12769405,1000.0,0,1000.0
2018-04-20,0,test0_04716358,1864382.8075964395,0,1965832.2056438888
2018-04-20,1,test1_12769405,1000.0,0,1000.0
2018-04-23,0,test0_04716358,1875830.720868634,0,1964285.3267481744
2018-04-23,1,test1_12769405,1000.0,0,1000.0
2018-04-24,0,test0_04716358,1809244.236821686,0,1965578.0542625308
2018-04-24,1,test1_12769405,1000.0,0,1000.0
2018-04-25,0,test0_04716358,1668804.2551966812,0,1966119.287381614
2018-04-25,1,test1_12769405,1000.0,0,1000.0
2018-04-26,0,test0_04716358,1649383.5868310973,0,1960138.4254537285
2018-04-26,1,test1_12769405,1000.0,0,1000.0
2018-04-27,0,test0_04716358,1577139.941497575,0,1958882.6333025026
2018-04-27,1,test1_12769405,1000.0,0,1000.0
2018-05-02,0,test0_04716358,1550271.2226083367,0,1959573.6780502044
2018-05-02,1,test1_12769405,1000.0,0,1000.0
2018-05-03,0,test0_04716358,1564716.0210035103,0,1961963.4577008889
2018-05-03,1,test1_12769405,1000.0,0,1000.0
2018-05-04,0,test0_04716358,1676132.8662845837,0,1960888.7001946662
2018-05-04,1,test1_12769405,1000.0,0,1000.0
2018-05-07,0,test0_04716358,1621886.263703639,0,1966825.5850327762
2018-05-07,1,test1_12769405,1000.0,0,1000.0
2018-05-08,0,test0_04716358,1498550.4278374882,0,1968519.7692828788
2018-05-08,1,test1_12769405,1000.0,0,1000.0
2018-05-09,0,test0_04716358,1475162.8273084515,0,1967740.5090425257
2018-05-09,1,test1_12769405,1000.0,0,1000.0
2018-05-10,0,test0_04716358,1438115.223127775,0,1971826.7355769877
2018-05-10,1,test1_12769405,1000.0,0,1000.0
2018-05-11,0,test0_04716358,1389918.3009943734,0,1968190.0045087454
2018-05-11,1,test1_12769405,1000.0,0,1000.0
2018-05-14,0,test0_04716358,1422571.3315701499,0,1972493.1465407899
2018-05-14,1,test1_12769405,1000.0,0,1000.0
2018-05-15,0,test0_04716358,1439149.7989177995,0,1976564.8552546855
2018-05-15,1,test1_12769405,1000.0,0,1000.0
2018-05-16,0,test0_04716358,1471864.9170462892,0,1974958.9944541364
2018-05-16,1,test1_12769405,1000.0,0,1000.0
2018-05-17,0,test0_04716358,1500546.7959159266,0,1970501.8359035722
2018-05-17,1,test1_12769405,1000.0,0,1000.0
2018-05-18,0,test0_04716358,1527617.0648373077,0,1974327.6476397016
2018-05-18,1,test1_12769405,1000.0,0,1000.0
2018-05-21,0,test0_04716358,1547642.9762332959,0,1970950.5607892368
2018-05-21,1,test1_12769405,1000.0,0,1000.0
2018-05-22,0,test0_04716358,1573403.9312611818,0,1974228.5429399114
2018-05-22,1,test1_12769405,1000.0,0,1000.0
2018-05-23,0,test0_04716358,1592006.601483805,0,1969672.7029223614
2018-05-23,1,test1_12769405,1000.0,0,1000.0
2018-05-24,0,test0_04716358,1664978.153428849,0,1966290.4894909186
2018-05-24,1,test1_12769405,1000.0,0,1000.0
2018-05-25,0,test0_04716358,1689596.7052931434,0,1965917.2184061217
2018-05-25,1,test1_12769405,1000.0,0,1000.0
2018-05-28,0,test0_04716358,1744054.5240171514,0,1967065.969757518
