,,account_id,available,pre_balance,total_balance
2018-11-26,0,test0_04716358,1776397.452927996,0,1861233.2871017961
2018-11-26,1,test1_12769405,1000.0,0,1000.0
2018-11-27,0,test0_04716358,1787823.3124472937,0,1861761.245949786
2018-11-27,1,test1_12769405,1000.0,0,1000.0
2018-11-28,0,test0_04716358,1803874.105592861,0,1862612.657726269
2018-11-28,1,test1_12769405,1000.0,0,1000.0
2018-11-29,0,test0_04716358,1809161.5850770527,0,1862090.1430000248
2018-11-29,1,test1_12769405,1000.0,0,1000.0
2018-11-30,0,test0_04716358,1805054.2178185268,0,1862572.8904880716
2018-11-30,1,test1_12769405,1000.0,0,1000.0
2018-12-03,0,test0_04716358,1623534.8620379048,0,1863725.983598704
2018-12-03,1,test1_12769405,1000.0,0,1000.0
2018-12-04,0,test0_04716358,1496118.2510946027,0,1864017.9295219244
2018-12-04,1,test1_12769405,1000.0,0,1000.0
2018-12-05,0,test0_04716358,1423405.3268178983,0,1864817.1381788636
2018-12-05,1,test1_12769405,1000.0,0,1000.0
2018-12-06,0,test0_04716358,1386393.8675485195,0,1852908.9087277637
2018-12-06,1,test1_12769405,1000.0,0,1000.0
2018-12-07,0,test0_04716358,1398236.9210169173,0,1851704.8234217525
2018-12-07,1,test1_12769405,1000.0,0,1000.0
2018-12-10,0,test0_04716358,1508758.5868446224,0,1845658.2778048753
2018-12-10,1,test1_12769405,1000.0,0,1000.0
2018-12-11,0,test0_04716358,1600502.4012032743,0,1847909.874373131
2018-12-11,1,test1_12769405,1000.0,0,1000.0
2018-12-12,0,test0_04716358,1701797.2458462084,0,1849215.8063826214
2018-12-12,1,test1_12769405,1000.0,0,1000.0
2018-12-13,0,test0_04716358,1695463.3212591724,0,1852058.5195874514
2018-12-13,1,test1_12769405,1000.0,0,1000.0
2018-12-14,0,test0_04716358,1722048.8057134482,0,1849659.3237331659
2018-12-14,1,test1_12769405,1000.0,0,1000.0
2018-12-17,0,test0_04716358,1681708.5817562966,0,1856545.306477164
2018-12-17,1,test1_12769405,1000.0,0,1000.0
2018-12-18,0,test0_04716358,1604223.7385814071,0,1854606.227488477
2018-12-18,1,test1_12769405,1000.0,0,1000.0
2018-12-19,0,test0_04716358,1597152.3505805174,0,1850749.3060946078
2018-12-19,1,test1_12769405,1000.0,0,1000.0
2018-12-20,0,test0_04716358,1732265.4726717235,0,1849339.1224894847
2018-12-20,1,test1_12769405,1000.0,0,1000.0
2018-12-21,0,test0_04716358,1780813.2647180322,0,1847572.7804951326
2018-12-21,1,test1_12769405,1000.0,0,1000.0
2018-12-24,0,test0_04716358,1816978.1050944685,0,1847693.1774951406
2018-12-24,1,test1_12769405,1000.0,0,1000.0
2018-12-25,0,test0_04716358,1812761.0697108873,0,1847490.9878951532
2018-12-25,1,test1_12769405,1000.0,0,1000.0
2018-12-26,0,test0_04716358,1802449.7797992504,0,1847535.6326685918
2018-12-26,1,test1_12769405,1000.0,0,1000.0
2018-12-27,0,test0_04716358,1757630.2112412977,0,1847512.550739166
2018-12-27,1,test1_12769405,1000.0,0,1000.0
2018-12-28,0,test0_04716358,1715686.6227478867,0,1847296.5692462854
2018-12-28,1,test1_12769405,1000.0,0,1000.0
