time_tag,account_id,instrument,exchange,average_price,direction,position,frozen,yesterday_position,position_profit,close,hold_value
2018-01-02,test0,002601,SZ,11.913079232698353,,100,100,0,-1.3572851914233297,11.89950638078412,1189.9506380784119
2018-01-02,test0,002839,SZ,8.205912383880154,,100,100,0,-1.2461035404541576,8.193451348475612,819.3451348475612
2018-01-02,test0,002602,SZ,11.220224950250653,,100,100,0,-1.336505796768428,11.206859892282969,1120.6859892282969
2018-01-02,test0,601212,SH,6.805186876186262,,100,100,0,-1.204094377972087,6.793145932406541,679.3145932406542
2018-01-02,test0,600383,SH,10.417477979086202,,100,100,0,-1.31243061018953,10.404353672984307,1040.4353672984307
2018-01-02,test0,000961,SZ,5.728935931950339,,100,100,0,-1.1718165329986263,5.717217766620353,571.7217766620353
2018-01-02,test0,600111,SH,14.408291804164168,,100,100,0,-1.43211911838943,14.393970612980274,1439.3970612980274
2018-01-02,test0,600518,SH,20.691237868315447,,100,100,0,-1.620550970758572,20.67503235860786,2067.503235860786
2018-01-02,test0,002594,SZ,65.04558137742774,,100,100,0,-2.9507822066619838,65.01607355536112,6501.607355536112
2018-01-02,test0,600028,SH,4.108468740481085,,100,100,0,-1.1232170970852273,4.097236569510232,409.72365695102326
2018-01-02,test0,002294,SZ,39.306652142998615,,100,100,0,-2.1788459105167135,39.28486368389345,3928.486368389345
2018-01-02,test0,002027,SZ,9.949873214079055,,100,100,0,-1.298406674419894,9.936889147334856,993.6889147334856
2018-01-02,test0,000963,SZ,28.57882983347387,,100,100,0,-1.8571077626752697,28.560258755847116,2856.0258755847117
2018-01-02,test0,002500,SZ,8.27397135900197,,100,100,0,-1.2481446973607646,8.261489912028363,826.1489912028363
2018-01-02,test0,000402,SZ,9.641739817511235,,100,100,0,-1.2891654448917933,9.628848163062317,962.8848163062318
2018-01-02,test0,000008,SZ,8.643299052595527,,100,100,0,-1.259221205216221,8.630706840543365,863.0706840543364
2018-01-02,test0,000002,SZ,24.620557416993194,,100,100,0,-1.7383952039487838,24.603173464953706,2460.3173464953707
2018-01-02,test0,600739,SH,16.799803706262,,100,100,0,-1.5038429583004387,16.784765276678996,1678.4765276678995
2018-01-02,test0,601998,SH,4.700185925761233,,100,100,0,-1.1409632887861676,4.688776292873372,468.8776292873372
2018-01-02,test0,601006,SH,6.139935338394197,,100,100,0,-1.1841428173065438,6.128093910221131,612.8093910221131
2018-01-02,test0,601336,SH,60.34626633121626,,100,100,0,-2.8098450364247185,60.318167880852016,6031.816788085202
2018-01-02,test0,000630,SZ,0.5416325018825008,,100,100,0,-1.016244101825925,0.5314700608642415,53.147006086424156
2018-01-02,test0,600741,SH,21.90621040585062,,100,100,0,-1.6569892154109311,21.88964051369651,2188.964051369651
2018-01-02,test0,603993,SH,6.390318983841087,,100,100,0,-1.191652073892957,6.378402463102158,637.8402463102158
2018-01-02,test0,601857,SH,6.560352759453976,,100,100,0,-1.1967515573163112,6.548385243880813,654.8385243880813
2018-01-02,test0,000060,SZ,6.669210982598372,,100,100,0,-1.2000163245805773,6.657210819352566,665.7210819352566
2018-01-02,test0,600340,SH,21.91540494064028,,100,100,0,-1.657264968728711,21.898832290952992,2189.883229095299
2018-01-02,test0,600188,SH,6.496524069015924,,100,100,0,-1.1948372708890709,6.484575696307033,648.4575696307033
2018-01-02,test0,000959,SZ,2.6444671204948893,,100,100,0,-1.079310220548635,2.633674018289403,263.3674018289403
2018-01-02,test0,300144,SZ,10.040538315937072,,100,100,0,-1.3011258117344937,10.027527057819727,1002.7527057819727
2018-01-02,test0,000938,SZ,25.821180336907304,,100,100,0,-1.7744030891805096,25.8034363060155,2580.34363060155
2018-01-02,test0,600827,SH,12.545639967910843,,100,100,0,-1.3762563221405344,12.531877404689437,1253.1877404689437
